,age,country,gender
0,37.0,USA,m
1,29.0,IND,m
2,25,IND,m
3,32,USA,m
4,29,USA,m
5,35,IND,m
6,34,USA,m
7,29,VNM,m
8,61,USA,f
9,27,USA,m
10,45.0,USA,m
11,25,USA,f
12,45.0,IND,m
13,25.0,IND,m
14,27,USA,m
15,35.0,USA,m
16,30.0,USA,m
17,30,USA,m
18,29,USA,m
19,40,USA,m
20,29.0,IND,m
21,32,USA,m
22,27,IND,m
23,35,IND,f
24,32.0,IND,m
25,31.0,IND,f
26,28,USA,m
27,36.0,USA,m
28,44,USA,m
29,37.0,USA,m
30,31,USA,f
31,45.0,IND,f
32,44,THA,m
33,23,USA,m
34,26,IND,m
35,37,USA,m
36,23,USA,m
37,26,GBR,m
38,36,IND,m
39,28,IND,m
40,26,SRB,m
41,32.0,USA,m
42,36,USA,m
43,42.0,USA,f
44,23,IND,m
45,29,USA,m
46,41,USA,m
47,57.0,USA,f
48,35,USA,m
49,30,IND,m
50,30,IND,m
51,29,IND,m
52,32,USA,m
53,29,IND,f
54,26.0,IND,m
55,24,IND,f
56,34,USA,m
57,38.0,USA,m
58,43.0,USA,m
59,29,USA,m
60,29,IND,m
61,3,IND,m
62,25,USA,m
63,48,USA,f
64,30,IND,m
65,41,USA,f
66,44,USA,m
67,37.0,USA,m
68,23,USA,m
69,28,IND,f
70,26.0,IND,m
71,25,BGR,m
72,38.0,USA,f
73,27,IND,f
74,25,IND,m
75,29,IND,m
76,29,USA,m
77,28,USA,f
78,27,IND,m
79,23,USA,o
80,30,IND,m
81,53,USA,f
82,30,USA,m
83,32.0,USA,m
84,23,IND,f
85,27,USA,m
86,36,USA,f
87,46,USA,f
88,36,USA,f
89,32,USA,m
90,29,USA,m
91,54,USA,f
92,35,USA,m
93,28,USA,m
94,37,USA,m
95,28,IND,f
96,29,USA,m
97,34.0,USA,m
98,38,USA,m
99,34,USA,m
100,29,IND,m
101,27,IND,f
102,26,USA,f
103,25.0,GBR,m
104,34,USA,m
105,44,USA,f
106,37,USA,m
107,26,USA,m
108,65,USA,m
109,25,IND,m
110,35.0,USA,o
111,48.0,USA,f
112,59,USA,f
113,34,USA,m
114,25,BRA,m
115,27,IND,f
116,22.0,USA,m
117,34,USA,f
118,47,IND,m
119,25,BGD,m
120,57,USA,f
121,32,USA,m
122,29,USA,m
123,28,USA,m
124,39,USA,o
125,34,USA,m
126,21,USA,m
127,25,USA,f
128,25,USA,m
129,33,USA,f
130,32,USA,m
131,30,IND,f
132,40,USA,m
133,37,USA,f
134,23,CAN,m
135,30.0,IND,m
136,28.0,USA,m
137,30,IND,m
138,30.0,USA,m
139,33,PRT,m
140,35.0,USA,m
141,55,IND,m
142,29.0,USA,m
143,25,IND,m
144,29,USA,f
145,25,IND,m
146,31,USA,m
147,40,USA,f
148,45,IND,m
149,69,USA,m
150,28,USA,m
151,30.0,USA,m
152,55,USA,f
153,32,USA,f
154,28,IND,f
155,47.0,USA,f
156,33,IND,m
157,30,IND,m
158,29,PHL,m
159,37,USA,m
160,53,USA,f
161,23.0,USA,m
162,30.0,IND,m
163,27,IND,m
164,30,USA,m
165,54,USA,f
166,34,USA,m
167,28,USA,m
168,29,USA,f
169,68,USA,f
170,31,USA,m
171,27,IND,m
172,55,IND,f
173,31,USA,m
174,20,VEN,m
175,26.0,USA,f
176,25.0,USA,m
177,38,USA,m
178,22,USA,m
179,35,USA,m
180,44.0,USA,m
181,28,IND,m
182,30,MKD,m
183,49,USA,f
184,36,USA,m
185,44,USA,m
186,25.0,IND,m
187,26,IND,m
188,33,USA,m
189,23,USA,m
190,28,IND,f
191,28,IND,m
192,28.0,USA,m
193,26,USA,f
194,30,USA,m
195,30,USA,f
196,24,USA,m
197,38,USA,f
198,31,USA,f
199,35,DOM,m
200,34,IND,m
201,24.0,USA,m
202,26.0,USA,m
203,30,USA,f
204,54,USA,f
205,28,DNK,f
206,42,USA,m
207,45.0,USA,f
208,28.0,USA,m
209,26,USA,m
210,27,USA,m
211,24,USA,m
212,30,USA,f
213,22,IND,f
214,26,IND,m
215,27,IND,m
216,44,USA,f
217,34,IND,f
218,33,USA,m
219,22.0,USA,m
220,31,IND,m
221,26,IND,f
222,28,IND,m
223,31,IND,m
224,25,USA,m
225,32.0,USA,f
226,37,IND,f
227,24,IND,m
228,35,USA,f
229,34,USA,m
230,39.0,USA,f
231,26.0,IND,f
232,26.0,USA,m
233,25.0,USA,m
234,27.0,IND,m
235,24,IND,f
236,27,IND,m
237,33,VEN,m
238,34,IND,m
239,30,USA,m
240,24,USA,f
241,34,USA,f
242,26.0,USA,m
243,31,USA,f
244,33.0,USA,f
245,29,USA,m
246,21,USA,m
247,30.0,USA,m
248,26,IND,f
249,43,USA,f
250,22,USA,m
251,56,USA,f
252,32.0,USA,m
253,29,USA,m
254,24,USA,m
255,25,USA,m
256,27,IND,f
257,36,USA,m
258,30,IND,m
259,32,USA,m
260,25,IND,f
261,26,USA,f
262,22,VEN,m
263,33.0,IDN,m
264,37,USA,f
265,32,IND,f
266,29,USA,m
267,32,IND,f
268,28,USA,m
269,23,USA,m
270,36.0,USA,m
271,28,USA,f
272,46.0,USA,f
273,32.0,USA,f
274,38,USA,m
275,68,USA,m
276,31,USA,m
277,30.0,USA,m
278,27,USA,f
279,33,IND,m
280,25.0,USA,m
281,24,IND,f
282,38,USA,f
283,34,USA,m
284,43,USA,m
285,24.0,USA,m
286,35.0,USA,m
287,23,IND,f
288,31,IND,m
289,62,USA,f
290,70,USA,m
291,25,IND,m
292,23,USA,m
293,21,IND,f
294,34,USA,m
295,24,USA,f
296,54,USA,f
297,26.0,USA,f
298,25,IND,m
299,33,USA,m
300,41.0,USA,f
301,25,USA,m
302,27,USA,f
303,22,IND,f
304,31.0,USA,m
305,37,USA,f
306,22,IND,f
307,23.0,USA,f
308,24,USA,m
309,83,USA,m
310,27,USA,m
311,44.0,USA,m
312,22,IND,f
313,33,USA,m
314,74,USA,f
315,21.0,USA,m
316,prefer not to say,USA,m
317,44,USA,f
318,41,USA,m
319,39.0,USA,m
320,23,IND,f
321,25,IND,m
322,29,USA,m
323,26,IND,m
324,34,USA,m
325,36,USA,m
326,37.0,USA,f
327,40,USA,m
328,30.0,USA,o
329,51,USA,m
330,61,USA,f
331,31,USA,m
332,27.0,USA,m
333,23,USA,f
334,22,IND,f
335,38,USA,f
336,31.0,USA,m
337,38,USA,f
338,32,USA,m
339,43,USA,f
340,29,IND,f
341,32,USA,f
342,38,USA,m
343,21,IND,f
344,41,USA,m
345,23,IND,f
346,40,IND,f
347,22,IND,f
348,24,USA,m
349,36.0,USA,m
350,37,USA,m
351,23,IND,f
352,29.0,USA,m
353,26.0,USA,m
354,27,IND,m
355,25.0,IND,m
356,26,USA,m
357,22,IND,f
358,40.0,USA,f
359,31,USA,m
360,31,USA,m
361,25,IND,f
362,29,IND,f
363,26,IND,f
364,30,USA,m
365,34,USA,f
366,21.0,USA,m
367,38,IND,f
368,37,USA,m
369,21,USA,m
370,29.0,USA,m
371,19,USA,m
372,26,USA,f
373,40,USA,m
374,30,USA,f
375,23,CAN,f
376,36,IND,m
377,22,IND,f
378,52.0,USA,m
379,26.0,USA,m
380,27,USA,f
381,32,USA,m
382,66,USA,m
383,38,USA,f
384,25,USA,f
385,25,IND,f
386,33,USA,m
387,30,USA,m
388,61,USA,f
389,31.0,USA,m
390,36,USA,m
391,49,USA,f
392,41,USA,f
393,24.0,USA,m
394,33.0,USA,m
395,34,IND,f
396,26.0,USA,m
397,29,USA,m
398,27.0,IND,m
399,26,IND,m
400,41,USA,m
401,26,USA,m
402,31,USA,m
403,28,USA,m
404,27,USA,m
405,28,USA,f
406,26,USA,m
407,31,USA,f
408,30.0,IND,f
409,29,USA,f
410,38.0,USA,m
411,25,IND,f
412,29,USA,m
413,29,USA,m
414,23,USA,m
415,29,IND,f
416,25.0,USA,m
417,36,USA,m
418,40,USA,m
419,38,IND,f
420,48,USA,m
421,26,USA,f
422,29.0,USA,f
423,30,USA,o
424,30.0,USA,f
425,23,IND,f
426,37,IND,m
427,21,USA,m
428,28.0,VEN,m
429,26,USA,f
430,29,USA,m
431,47,USA,m
432,26,USA,m
433,36,USA,f
434,27,IND,m
435,30,CAN,f
436,30.0,USA,m
437,32.0,IND,m
438,22.0,IND,m
439,30,USA,m
440,29.0,USA,f
441,32,USA,f
442,31,USA,f
443,32.0,USA,m
444,32,USA,m
445,40.0,IND,m
446,55,USA,f
447,27,IND,f
448,28.0,AUS,m
449,39,USA,m
450,23,USA,m
451,52,USA,m
452,44,USA,f
453,30,USA,m
454,29.0,IND,m
455,28,USA,f
456,30,USA,m
457,34,USA,m
458,33.0,USA,m
459,22.0,USA,m
460,61,USA,f
461,47,USA,m
462,49.0,USA,m
463,25,USA,m
464,25,IND,m
465,32,IND,m
466,54,USA,f
467,40,USA,m
468,32,IND,m
469,33.0,USA,f
470,53,USA,f
471,23.0,IND,m
472,37.0,USA,f
473,58.0,USA,f
474,31,IND,f
475,25,IND,m
476,29,IND,f
477,37.0,USA,m
478,27,USA,f
479,36,USA,m
480,49.0,IND,m
481,28,USA,m
482,25.0,IND,f
483,44.0,USA,f
484,28.0,USA,f
485,34,USA,m
486,27,USA,o
487,31,IND,f
488,39,IND,m
489,19.0,IND,f
490,30.0,IND,f
491,24.0,USA,m
492,39.0,USA,m
493,28,USA,f
494,25.0,USA,m
495,49,USA,m
496,26,USA,f
497,27,IND,m
498,46,USA,m
499,24,USA,f
500,33,USA,m
501,26,IND,m
502,40,GBR,m
503,39,USA,m
504,25,USA,f
505,40,USA,m
506,34,IND,m
507,35,USA,f
508,31,USA,m
509,47.0,USA,f
510,23.0,USA,m
511,23,USA,m
512,41.0,USA,m
513,62,URY,m
514,34,USA,m
515,29,USA,m
516,42,USA,m
517,24.0,USA,m
518,32.0,USA,f
519,57.0,USA,m
520,42,USA,f
521,28,USA,m
522,22.0,USA,m
523,42.0,USA,m
