37.0,USA,m
29.0,IND,m
25,IND,m
32,USA,m
29,USA,m
35,IND,m
34,USA,m
29,VNM,m
61,USA,f
27,USA,m
45.0,USA,m
25,USA,f
45.0,IND,m
25.0,IND,m
27,USA,m
35.0,USA,m
30.0,USA,m
30,USA,m
29,USA,m
40,USA,m
29.0,IND,m
32,USA,m
27,IND,m
35,IND,f
32.0,IND,m
31.0,IND,f
28,USA,m
36.0,USA,m
44,USA,m
37.0,USA,m
31,USA,f
45.0,IND,f
44,THA,m
23,USA,m
26,IND,m
37,USA,m
23,USA,m
26,GBR,m
36,IND,m
28,IND,m
26,SRB,m
32.0,USA,m
36,USA,m
42.0,USA,f
23,IND,m
29,USA,m
41,USA,m
57.0,USA,f
35,USA,m
30,IND,m
30,IND,m
29,IND,m
32,USA,m
29,IND,f
26.0,IND,m
24,IND,f
34,USA,m
38.0,USA,m
43.0,USA,m
29,USA,m
29,IND,m
3,IND,m
25,USA,m
48,USA,f
30,IND,m
41,USA,f
44,USA,m
37.0,USA,m
23,USA,m
28,IND,f
26.0,IND,m
25,BGR,m
38.0,USA,f
27,IND,f
25,IND,m
29,IND,m
29,USA,m
28,USA,f
27,IND,m
23,USA,o
30,IND,m
53,USA,f
30,USA,m
32.0,USA,m
23,IND,f
27,USA,m
36,USA,f
46,USA,f
36,USA,f
32,USA,m
29,USA,m
54,USA,f
35,USA,m
28,USA,m
37,USA,m
28,IND,f
29,USA,m
34.0,USA,m
38,USA,m
34,USA,m
29,IND,m
27,IND,f
26,USA,f
25.0,GBR,m
34,USA,m
44,USA,f
37,USA,m
26,USA,m
65,USA,m
25,IND,m
35.0,USA,o
48.0,USA,f
59,USA,f
34,USA,m
25,BRA,m
27,IND,f
22.0,USA,m
34,USA,f
47,IND,m
25,BGD,m
57,USA,f
32,USA,m
29,USA,m
28,USA,m
39,USA,o
34,USA,m
21,USA,m
25,USA,f
25,USA,m
33,USA,f
32,USA,m
30,IND,f
40,USA,m
37,USA,f
23,CAN,m
30.0,IND,m
28.0,USA,m
30,IND,m
30.0,USA,m
33,PRT,m
35.0,USA,m
55,IND,m
29.0,USA,m
25,IND,m
29,USA,f
25,IND,m
31,USA,m
40,USA,f
45,IND,m
69,USA,m
28,USA,m
30.0,USA,m
55,USA,f
32,USA,f
28,IND,f
47.0,USA,f
33,IND,m
30,IND,m
29,PHL,m
37,USA,m
53,USA,f
23.0,USA,m
30.0,IND,m
27,IND,m
30,USA,m
54,USA,f
34,USA,m
28,USA,m
29,USA,f
68,USA,f
31,USA,m
27,IND,m
55,IND,f
31,USA,m
20,VEN,m
26.0,USA,f
25.0,USA,m
38,USA,m
22,USA,m
35,USA,m
44.0,USA,m
28,IND,m
30,MKD,m
49,USA,f
36,USA,m
44,USA,m
25.0,IND,m
26,IND,m
33,USA,m
23,USA,m
28,IND,f
28,IND,m
28.0,USA,m
26,USA,f
30,USA,m
30,USA,f
24,USA,m
38,USA,f
